,names_2,link_CU,research_interest,pernames,subfaculty,faculty
267,Riya Patel,https://pureportal.coventry.ac.uk/en/persons/riya-patel,"Research Interests: I have two key areas of interest in terms of my reserach. The first is the role of religion in health and well-being. Religion has often been perceived as the 'black box' that should be ignored and not explored in health and healthcare research, yet there is a growing evidence base that highlights religion can have both a positive and negative influence on health outcomes. I am keen to investigate the mechanisms and functions that underpin religiously integrated health interventions, which led me to my current research project the RHIBS Taxonomy. 
Closely related to this, religious beliefs and practices are often intertwined with cultural beliefs and practices. To have a truly holistic understanding of health, illness and associated behaviours we need to better understand this link. I am interested in how we can better understand the influence of cultural beliefs and practices around health and well-being within BME communities through working with Faith-based organisations. If we can develop this understand we can work collaboratively with individuals belonging to these communities to begin reducing the barriers that exist with intentions to reduce health inequalities that affect the BME communities.
 
 
Areas of Expertise: 
Qualitative Research MethodsIntervention EvaluationReligiously-Integrated Health InterventionsPsychology of Eating",Riya Patel,Faculty Research Centre for Intelligent Healthcare,Faculty of Health & Life Sciences
268,Laura Payne,https://pureportal.coventry.ac.uk/en/persons/laura-payne,"Research Interests: Conflict prevention; Religion, peace and conflict; Conflict transformation and peacebuilding; Conflict and security in the Middle East and Africa",,,
269,Gemma Pearce,https://pureportal.coventry.ac.uk/en/persons/gemma-pearce,Research Interests: Self-Management Support ; Long-Term Conditions ; Co-creation ; Systematic Reviewing ; Patient Involvement ; Implementaion ; Impact; hypermobility; Ehlers-Danlos Syndrome; Postural Orthostatic Tachycardia Syndrome; Physical Activity,Gemma Pearce,"School of Psychological, Social and Behavioural Sciences",Faculty of Health & Life Sciences
270,Leitrim Pearson,https://pureportal.coventry.ac.uk/en/persons/leitrim-pearson,Research Interests: Behavioral Economics; Behavioral Finance; Business Management; Decision-Making; Economic Theory; Marketing Management; Psychology. ,Leitrim Pearson,Faculty Research Centre for Financial & Corporate Integrity,Faculty of Business & Law
271,Imogen Peck,https://pureportal.coventry.ac.uk/en/persons/imogen-peck,"Research Interests: PUBLICATIONS
Books  
Family, Memory and Nonconformity: The Writings of George Wansey, 1713-1762 (in preparation, under contract with Cambridge University Press)
Recollection in the Republics: Memories of the British Civil Wars in England, 1649-1659 (Oxford University Press, forthcoming 2021)
Articles
‘“Valuable Remains”: Manuscripts, Memory, and the Family Archive in Eighteenth Century England’ (in preparation).
‘“A chronology of some memorable accidents”: The Representation of the Recent Past in English Almanacs, 1648-1660’, Historical Research, 92 (2019), 97-117. 
‘The Great Unknown: The Negotiation and Narration of Death by English Civil War Widows, 1647-1660’, Northern History, 53 (2016), 220-235.
‘Collaborators not Cavaliers: Popular Politics in the Northern Counties of England, 1647-59’, Northern History, 50 (2013), 39-52. 
Book Chapters
‘Remembering – and Forgetting – Regicide: The Commemoration of the 30 January, 1649-1660’, in Remembering Queens and Kings in Early Modern England and France: Reputation, Reinterpretation, Reincarnation, ed. by Estelle Paranque (Palgrave Macmillan, forthcoming 2019). 
‘Isabella Lady Twysden’, in Palgrave Encyclopaedia of Early Modern Women's Writing (Palgrave Macmillan, 2020). 
‘Reconciliation and Oblivion in the English Republics’, in Reconciliation After War (Crimes): Historical Perspectives, ed. by James Gow, Rachel Kerr, and Henry Redwood (Routledge, forthcoming 2021).
‘Civilian Memories of the British Civil Wars, 1642-1660’, in Remembering the English Civil Wars, ed. by Lloyd Bown and Mark Stoyle (Routledge, forthcoming 2021)
 
AWARDS
2019                 Leverhulme Early Career Fellowship (2019-2022)
 
                        Nominated for Warwick Teaching Excellence Award
 
2018                 Outstanding Doctoral Thesis Prize, Faculty of Arts, Bristol 
 
2017                 Pollard Prize, Institute for Historical Research, runner up 
 
2016                 Postgraduate Paper Award, Social History Society, runner up
 
2015                 John Nichols Prize for English Local History, Centre for English Local History, Leicester
 
2015                 SWW AHRC PhD studentship
 
2010                 Leys Scholarship, St Hilda’s College, Oxford ",Imogen Peck,"Faculty Research Centre for Arts, Memory and Communities",Faculty of Arts & Humanities
272,Alex Pedcenko,https://pureportal.coventry.ac.uk/en/persons/alex-pedcenko,"Research Interests: Experimental fluid dynamics and magnetohydrodynamics; Acquisition systems, multichannel measurements, ultrasonic Doppler velocimetry; Programming (MATLAB, PHP, MySQL,VBA, Visual Basic, TestPoint), programming for PC-based measurements, multi-channel data acquisition, measurement automation, data processing, electromagnetic and hydrodynamic numerical modelling, High Performance Computing.",Alex Pedcenko,"School of Computing, Electronics and Maths","Faculty of Engineering, Environment & Computing"
273,Matt Perry,https://pureportal.coventry.ac.uk/en/persons/matt-perry,"Research Interests: I am interested in all forms of research that have relevance to emergency and urgent care, particularly research relevant to the paramedic profession. As a researcher I'm more comfortable with studies Focussed Ethnographic, Phenomenological as well as descriptive statistical. I have also made use of Case Study and Mixed Method research to investigate issues and questions.",Matt Perry,"School of Nursing, Midwifery and Health",Faculty of Health & Life Sciences
274,Sally Pezaro,https://pureportal.coventry.ac.uk/en/persons/sally-pezaro,Research Interests: Development and evaluation of 'Research Inspired Teaching'Development of workplace compassion and wellbeingDevelopment and evaluation of online and app-based health interventionsReducing inequalities in healthcareAchieving excellence in healthcare services,Sally Pezaro,"Faculty Research Centre for Arts, Memory and Communities",Faculty of Arts & Humanities
275,Sally Pezaro,https://pureportal.coventry.ac.uk/en/persons/sally-pezaro,Research Interests: Development and evaluation of 'Research Inspired Teaching'Development of workplace compassion and wellbeingDevelopment and evaluation of online and app-based health interventionsReducing inequalities in healthcareAchieving excellence in healthcare services,Sally Pezaro,"Faculty Research Centre for Arts, Memory and Communities",Faculty of Health & Life Sciences
276,Thierry Platini,https://pureportal.coventry.ac.uk/en/persons/thierry-platini,"Research Interests: Bio-physics
; Network Theory 
; Non Equilibrium Open Quantum Systems
; Non Equilibrium Statistical Mechanics",Thierry Platini,"School of Computing, Electronics and Maths","Faculty of Engineering, Environment & Computing"
277,Tassos Plioutsias,https://pureportal.coventry.ac.uk/en/persons/tassos-plioutsias,"Research Interests: Human Factors, Human System Integration, Accident & Incident Investigations, Risk Management, Project Management, Safety Management Systems.
 
 ",Tassos Plioutsias,"School of Mechanical, Aerospace and Automotive Engineering","Faculty of Engineering, Environment & Computing"
278,Rocco Porreca,https://pureportal.coventry.ac.uk/en/persons/rocco-porreca,"Research Interests: My research interests are on sport employability, and on how sport and society impact each other, specifically regarding youth development. My doctoral dissertation focused on further identifying the employability competencies most desired by the major sport leagues in North America. In addition to sport employability, I have been researching how CTE research is impacting American Football as a product, and the impact sport gambling can have on grassroots sport development. I have published works in journals such as The Sport Journal, and the International Journal of Sport and Society, as well as, book chapters within the textbook Sports leadership: A Concise Reference Guide, and Sport and the Pandemic: Perspectives on Covid-19’s Impact on the Sport Industry. I have presented papers at international conferences such as the European Association for Sport Management (EASM), The International Conference on Sport and Society, Commission on Sport Management Accreditation (COSMA), Global Sport Business Association Conference, and the Great Lakes Analytics in Sports Conference.  
 ",Rocco Porreca,School of Marketing and Management,Faculty of Business & Law
279,"Stephen John Powley, MIET",https://pureportal.coventry.ac.uk/en/persons/stephen-john-powley,"Research Interests: The goal of my research is to demonstrate how rigorous modelling of business and engineering practices can contribute to improving the resilience of complex, software-intensive systems. Much of my work is widely applicable, but I focus on the practices needed to keep connected vehicles secure throughout their lifecycle. I apply ontology engineering and model-based systems engineering (MBSE) methods to enterprise systems of systems comprising people, processes and technology. The outputs of my research describe novel conceptual modelling techniques and show how they can be used to give enterprises the capabilities they need to engineer secure vehicle systems.
Human society is increasingly reliant on complex, networked systems, but our ability to comprehend and describe them is failing to keep pace with the technology. The result is increasingly chaotic, ad hoc systems of systems that can behave in unexpected ways. For example, most new vehicles have safety-critical components connected directly to the Internet, which increases complexity and creates new paths for hackers. Connected vehicles have great potential to create new mobility opportunities, reduce accidents, and reduce pollution. In operation, they form part of a massively complex, ever-changing system of systems that is vulnerable to cyber-attacks. A remote attacker could steal a truck, crash a car or even bring a city to a standstill. Vulnerabilities can be exploited from the concept phase through to end-of-life, meaning rigorous engineering and business practices are required to keep data private and people safe.
To operate securely, and therefore safely, connected vehicle systems must be developed, operated, maintained and retired using advanced methods that address this shifting complexity. Yet in 2019, the US non-profit organisation Consumer Watchdog reported that automotive companies are deceiving the public about cybersecurity risks and their inability to eliminate them. Moving beyond this is a massive challenge in an environment characterised by rapid innovation, conflicting needs, complex supply chains, and emerging legislative frameworks. Enterprises must evolve to develop and maintain the capabilities needed to manufacture and operate secure connected vehicles.
Much of my work addresses the challenges of modelling complex socio-technical systems at a more abstract level. This is important because new MBSE techniques are needed to better address complexity, where the relationships between cause and effect are unknown. Careful modelling that accounts for different contexts and ways of seeing the world can help to reveal hidden issues well before they would otherwise be identified.
I focus on how organisations can collaborate as enterprises to create the conditions needed to ensure that vehicles are acceptably secure. This means exploring both how ‘acceptable security’ is defined and how we can prove it has been achieved. To do this, I am developing an ontologically well-founded conceptual framework to underpin integrated models of needs and evaluations. Building models using this framework not only leads directly to better security outcomes, but also generates business intelligence and auditing information. This is valuable to automotive companies, who must have reasonable and justifiable confidence in the security of their products. They may also be called upon to provide evidence of due diligence to stakeholders such as investors, insurers, regulators and courts.",,,
